ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
17,10619,30-34,Man,United States of America,No,Yes,5-10 years,2-3 years,,Data Scientist,Accounting/Finance,50-249 employees,5-9,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",$100-$999,They all had a similarly enjoyable developer experience,Never
18,587,50-54,Man,Singapore,No,Yes,3-5 years,4-5 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,250-999 employees,20+,We are exploring ML methods (and may one day put a model into production),"90,000-99,999","$1000-$9,999", Alibaba Cloud ,2-5 times
19,676,25-29,Man,Italy,No,Yes,5-10 years,2-3 years,,Data Engineer,Computers/Technology,50-249 employees,20+,I do not know,"30,000-39,999",$0 ($USD),,
20,542,30-34,Man,Taiwan,No,,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 ($USD),,
21,174,25-29,Woman,China,Yes,No,< 1 years,,,,,,,,,,,
22,260,35-39,Woman,India,No,Yes,3-5 years,I do not use machine learning methods,,,,,,,,,,
23,323,25-29,Man,Argentina,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
24,404,35-39,Man,Turkey,No,Yes,< 1 years,Under 1 year,  TensorFlow Hub ,Currently not employed,,,,,,,,
25,2481,25-29,Man,Brazil,No,No,3-5 years,2-3 years,,Data Engineer,Other,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$100-$999, Microsoft Azure ,Never
26,301,18-21,Man,Nigeria,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
27,772,60-69,Woman,Argentina,No,Yes,1-3 years,Under 1 year,,Other,Medical/Pharmaceutical,0-49 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",$100-$999,,Never
28,433,45-49,Man,United States of America,Yes,No,3-5 years,1-2 years, Kaggle datasets ,,,,,,,,,
29,1481,35-39,Man,Chile,No,,5-10 years,4-5 years,,Data Scientist,Marketing/CRM,"1000-9,999 employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","$1000-$9,999",,Once
30,815,22-24,Prefer not to say,Singapore,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
31,261,40-44,Man,Other,No,Yes,10-20 years,,,,,,,,,,,
32,623,30-34,Man,Other,No,No,3-5 years,3-4 years,,Machine Learning/ MLops Engineer,Accounting/Finance,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",$100-$999,,Never
33,489,35-39,Man,Italy,No,Yes,10-20 years,10-20 years,,Research Scientist,Academics/Education,"1000-9,999 employees",0,I do not know,"15,000-19,999",$0 ($USD),,
34,249,18-21,Man,India,Yes,,3-5 years,1-2 years, PyTorch Hub ,,,,,,,,,
35,506,25-29,Man,Japan,No,No,3-5 years,2-3 years,,Data Scientist,Computers/Technology,"1000-9,999 employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,,Never
36,343,40-44,Man,India,No,Yes,5-10 years,Under 1 year,,,,,,,,,,
37,301,30-34,Man,Mexico,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
38,298,25-29,Man,India,Yes,,< 1 years,1-2 years,,,,,,,,,,
39,333,30-34,Man,India,Yes,Yes,10-20 years,4-5 years,,,,,,,,,,
40,369,22-24,Woman,Canada,No,No,5-10 years,1-2 years,,Machine Learning/ MLops Engineer,Computers/Technology,"1000-9,999 employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$0 ($USD),,
41,14658,50-54,Man,Indonesia,No,Yes,5-10 years,Under 1 year,,Data Scientist,Computers/Technology,50-249 employees,1-2,No (we do not use ML methods),"10,000-14,999",$1-$99,,Never
42,429,40-44,Man,India,No,,10-20 years,2-3 years,,,,,,,,,,
43,1162,22-24,Man,India,No,,3-5 years,Under 1 year, Huggingface Models ,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees",10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$1000-$9,999",,Never
44,223,35-39,Woman,Israel,Yes,,3-5 years,Under 1 year,,,,,,,,,,
45,1103,40-44,Man,Colombia,No,Yes,1-3 years,1-2 years,,Engineer (non-software),Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999,,Never
46,349,22-24,Man,India,Yes,No,I have never written code,,,,,,,,,,,
47,166,18-21,Man,India,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
48,645,35-39,Man,France,No,Yes,5-10 years,4-5 years,  TensorFlow Hub ,Research Scientist,Computers/Technology,50-249 employees,3-4,We are exploring ML methods (and may one day put a model into production),"3,000-3,999","$1000-$9,999",,Never
49,548,45-49,Man,Brazil,Yes,,< 1 years,Under 1 year,,,,,,,,,,
50,796,40-44,Man,Other,No,Yes,I have never written code,,,Currently not employed,,,,,,,,
51,8632,18-21,Man,India,Yes,,1-3 years,Under 1 year, PyTorch Hub ,,,,,,,,,
52,507,25-29,Woman,Indonesia,Yes,Yes,3-5 years,2-3 years,,,,,,,,,,
53,1610,35-39,Man,Egypt,No,,,,,,,,,,,,,
54,502,35-39,Man,Turkey,Yes,Yes,1-3 years,1-2 years,  TensorFlow Hub ,,,,,,,,,
55,561,30-34,Man,India,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
56,341,22-24,Man,Egypt,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
57,895,35-39,Man,India,No,No,10-20 years,4-5 years,,Data Scientist,Computers/Technology,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999","$1000-$9,999",,2-5 times
58,198,30-34,Man,Turkey,No,No,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),,,,
59,336,25-29,Woman,Pakistan,Yes,Yes,3-5 years,2-3 years,,,,,,,,,,
60,162,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
61,148,30-34,Man,Pakistan,Yes,,I have never written code,,,,,,,,,,,
62,642,18-21,Man,Russia,Yes,,1-3 years,Under 1 year,,,,,,,,,,
63,992,40-44,Man,Pakistan,No,,10-20 years,Under 1 year,,Software Engineer,Computers/Technology,50-249 employees,0,No (we do not use ML methods),$0-999,$1-$99, Amazon Web Services (AWS) ,Never
64,427,18-21,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
65,547,18-21,Woman,Other,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
66,344,18-21,Man,Colombia,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
67,834,30-34,Man,India,Yes,,5-10 years,1-2 years,,,,,,,,,,
68,150,35-39,Woman,India,No,,< 1 years,,,,,,,,,,,
69,232,22-24,Man,Nigeria,Yes,Yes,< 1 years,,,,,,,,,,,
70,283,22-24,Woman,China,Yes,,< 1 years,Under 1 year,,,,,,,,,,
71,492,40-44,Man,Japan,No,,< 1 years,I do not use machine learning methods,,Other,Manufacturing/Fabrication,"1000-9,999 employees",0,I do not know,"50,000-59,999","$10,000-$99,999",,
72,389,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
73,214,30-34,Woman,Canada,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
74,13731,30-34,Man,India,No,,3-5 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000 or more employees",5-9,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",$0 ($USD),,
75,592,25-29,Man,India,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"10,000 or more employees",20+,I do not know,"7,500-9,999",$100-$999,,Never
76,632,25-29,Man,Russia,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
77,473,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
78,224,22-24,Man,India,Yes,No,< 1 years,,,,,,,,,,,
79,449,40-44,Man,Other,No,,< 1 years,I do not use machine learning methods,,Engineer (non-software),Energy/Mining,250-999 employees,0,No (we do not use ML methods),"4,000-4,999",$0 ($USD),,
80,611,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
81,422,50-54,Man,Canada,No,,10-20 years,2-3 years,,Software Engineer,Computers/Technology,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",$100-$999, Amazon Web Services (AWS) ,2-5 times
82,168,55-59,Woman,United States of America,No,No,I have never written code,,,Teacher / professor,Academics/Education,50-249 employees,1-2,I do not know,"25,000-29,999",$0 ($USD),,
83,985,30-34,Man,Japan,No,Yes,5-10 years,3-4 years, Huggingface Models ,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999, Amazon Web Services (AWS) ,Once
84,162,35-39,Man,United States of America,No,No,I have never written code,,,Teacher / professor,Broadcasting/Communications,"10,000 or more employees",1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$1-$99,,
85,565,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
86,1067,25-29,Man,Ethiopia,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
87,498,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
88,146,22-24,Man,India,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
89,252,18-21,Woman,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
90,132,18-21,Woman,Egypt,Yes,,,,,,,,,,,,,
91,203,22-24,Man,South Africa,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
92,296,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
93,207,30-34,Man,France,Yes,No,5-10 years,,,,,,,,,,,
94,5261,25-29,Man,India,No,,,,,,,,,,,,,
95,125,25-29,Woman,United States of America,Yes,No,1-3 years,,,,,,,,,,,
96,309,30-34,Man,India,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
97,963,35-39,Man,India,No,Yes,5-10 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,5-9,No (we do not use ML methods),"20,000-24,999",$1-$99,,
98,551,22-24,Man,India,No,No,5-10 years,2-3 years,,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",$0 ($USD),,
99,297,18-21,Man,India,Yes,,1-3 years,2-3 years, Kaggle datasets ,,,,,,,,,
100,267,22-24,Man,Turkey,Yes,,3-5 years,,,,,,,,,,,
101,193,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
102,3524,22-24,Man,Pakistan,No,,< 1 years,Under 1 year, Kaggle datasets ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$1-$99,,Never
103,207,25-29,Man,Indonesia,Yes,Yes,< 1 years,,,,,,,,,,,
104,401,35-39,Man,United States of America,Yes,No,10-20 years,10-20 years,,,,,,,,,,
105,1147,30-34,Woman,Pakistan,No,Yes,5-10 years,5-10 years, Kaggle datasets ,Data Scientist,Other,50-249 employees,3-4,,,,,
106,299,25-29,Man,South Korea,Yes,No,1-3 years,1-2 years,,,,,,,,,,
107,464,22-24,Man,Pakistan,Yes,No,I have never written code,,,,,,,,,,,
108,512,40-44,Man,Viet Nam,Yes,Yes,10-20 years,5-10 years, PyTorch Hub ,,,,,,,,,
109,1074,25-29,Man,India,Yes,,1-3 years,5-10 years,,,,,,,,,,
110,808,50-54,Man,Israel,No,No,10-20 years,10-20 years, Huggingface Models ,Data Scientist,Insurance/Risk Assessment,0-49 employees,1-2,We use ML methods for generating insights (but do not put working models into production),,"$10,000-$99,999",,Never
111,380,18-21,Man,Viet Nam,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
112,195,30-34,Man,India,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
113,3870,35-39,Man,India,No,No,5-10 years,4-5 years,,Data Scientist,Other,0-49 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
114,326,30-34,Man,India,No,Yes,5-10 years,3-4 years, Kaggle datasets ,Data Scientist,Computers/Technology,0-49 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$100-$999, Microsoft Azure ,2-5 times
115,126,22-24,Man,India,Yes,Yes,< 1 years,,,,,,,,,,,
116,458,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
117,176,25-29,Man,Chile,Yes,,5-10 years,I do not use machine learning methods,,,,,,,,,,
118,525,22-24,Man,India,Yes,,3-5 years,I do not use machine learning methods,,,,,,,,,,
119,356,40-44,Woman,Canada,No,No,10-20 years,I do not use machine learning methods,,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees",1-2,We are exploring ML methods (and may one day put a model into production),"90,000-99,999","$10,000-$99,999",,
120,268,18-21,Nonbinary,China,Yes,,1-3 years,1-2 years,,,,,,,,,,
121,577,22-24,Man,Mexico,No,,1-3 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,,
122,378,30-34,Man,South Korea,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
123,883,30-34,Man,Japan,No,No,3-5 years,3-4 years, Kaggle datasets ,Data Scientist,Insurance/Risk Assessment,"1000-9,999 employees",5-9,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$100-$999,They all had a similarly enjoyable developer experience,2-5 times
124,139,35-39,Woman,India,No,,,,,,,,,,,,,
125,398,22-24,Man,Other,No,,< 1 years,4-5 years,,Research Scientist,Online Service/Internet-based Services,"1000-9,999 employees",3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",$1-$99,,Never
126,23199,30-34,Man,United States of America,Yes,Yes,5-10 years,2-3 years,,,,,,,,,,
127,1722,45-49,Man,Australia,No,Yes,3-5 years,1-2 years, Huggingface Models ,Data Scientist,Computers/Technology,50-249 employees,3-4,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","$1000-$9,999",None were satisfactory,Never
128,148,18-21,Man,India,Yes,,I have never written code,,,,,,,,,,,
129,218,25-29,Man,United States of America,No,Yes,5-10 years,1-2 years,,,,,,,,,,
130,246,35-39,Man,Italy,No,No,1-3 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
131,227,22-24,Man,Italy,Yes,No,5-10 years,1-2 years, PyTorch Hub ,,,,,,,,,
132,307,22-24,Woman,Indonesia,Yes,,I have never written code,,,,,,,,,,,
133,1141,55-59,Man,Colombia,No,No,10-20 years,10-20 years,  TensorFlow Hub ,Data Scientist,Retail/Sales,0-49 employees,0,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$0 ($USD),,
134,41827,35-39,Man,Brazil,Yes,No,5-10 years,I do not use machine learning methods,,,,,,,,,,
135,666,35-39,Man,Turkey,No,Yes,5-10 years,3-4 years,,Engineer (non-software),Manufacturing/Fabrication,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999",,2-5 times
136,749,45-49,Man,India,No,No,10-20 years,4-5 years,,Software Engineer,Accounting/Finance,"1000-9,999 employees",5-9,We are exploring ML methods (and may one day put a model into production),"30,000-39,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
137,234,22-24,Man,Kenya,Yes,,3-5 years,,,,,,,,,,,
138,417,22-24,Man,Japan,Yes,,1-3 years,2-3 years,,,,,,,,,,
139,442,40-44,Man,Spain,No,Yes,10-20 years,5-10 years,,Other,Computers/Technology,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",$100-$999,They all had a similarly enjoyable developer experience,Never
140,334,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
141,286,18-21,Man,"Iran, Islamic Republic of...",Yes,No,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
142,339,25-29,Man,India,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",0,I do not know,"3,000-3,999",$0 ($USD),,
143,1726727,40-44,Man,Cameroon,No,No,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$10,000-$99,999",,
144,179,45-49,Man,Brazil,Yes,Yes,1-3 years,,,,,,,,,,,
145,140,22-24,Man,United States of America,No,No,5-10 years,,,,,,,,,,,
146,229,18-21,Woman,Pakistan,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
147,394,25-29,Man,Brazil,Yes,Yes,10-20 years,5-10 years,,,,,,,,,,
148,528,25-29,Man,Pakistan,No,No,I have never written code,,,Statistician,Marketing/CRM,0-49 employees,1-2,No (we do not use ML methods),,,,
149,212,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
150,351,35-39,Man,Brazil,No,,< 1 years,Under 1 year,,Data Scientist,Broadcasting/Communications,0-49 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
151,419,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
152,535,22-24,Man,India,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
153,210,25-29,Woman,Israel,Yes,,1-3 years,Under 1 year,,,,,,,,,,
154,373,45-49,Woman,Spain,No,No,< 1 years,I do not use machine learning methods,,Other,Other,0-49 employees,1-2,No (we do not use ML methods),"50,000-59,999",$0 ($USD),,
155,252,18-21,Man,China,Yes,,3-5 years,1-2 years, PyTorch Hub ,,,,,,,,,
156,398,30-34,Woman,India,No,Yes,< 1 years,I do not use machine learning methods,,Teacher / professor,Academics/Education,0-49 employees,1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
157,213,18-21,Man,India,Yes,,1-3 years,,,,,,,,,,,
158,4756,35-39,Woman,Nigeria,No,Yes,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,50-249 employees,3-4,I do not know,$0-999,$1-$99,,
159,738,25-29,Man,Japan,No,No,1-3 years,Under 1 year,,Software Engineer,Computers/Technology,"1000-9,999 employees",3-4,I do not know,"20,000-24,999",$1-$99, Amazon Web Services (AWS) ,Never
160,86673,30-34,Man,India,No,,1-3 years,2-3 years,,Data Scientist,Medical/Pharmaceutical,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"4,000-4,999","$1000-$9,999",,Never
161,143,25-29,Man,India,Yes,,I have never written code,,,,,,,,,,,
162,244,30-34,Man,Turkey,No,,< 1 years,I do not use machine learning methods,,Machine Learning/ MLops Engineer,Other,0-49 employees,0,I do not know,$0-999,$0 ($USD),,
163,446,50-54,Man,United States of America,No,,5-10 years,Under 1 year,,Data Engineer,Medical/Pharmaceutical,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",$100-$999,,Never
164,574,35-39,Man,India,No,No,10-20 years,Under 1 year,,Software Engineer,Computers/Technology,"1000-9,999 employees",5-9,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$1-$99,,Never
165,264,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
166,185,30-34,Man,Italy,No,No,1-3 years,,,,,,,,,,,
167,332,22-24,Man,Tunisia,Yes,No,< 1 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
168,269,22-24,Woman,Other,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
169,564,22-24,Man,United States of America,No,,3-5 years,1-2 years,,Currently not employed,,,,,,,,
170,223,18-21,Man,Nigeria,Yes,,3-5 years,Under 1 year,,,,,,,,,,
171,128,40-44,Man,Peru,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
172,1105,45-49,Man,India,No,Yes,3-5 years,2-3 years,,Teacher / professor,Academics/Education,50-249 employees,20+,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$1-$99, Microsoft Azure ,2-5 times
173,143,30-34,Woman,United States of America,No,No,5-10 years,,,,,,,,,,,
174,375,22-24,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
175,192,18-21,Woman,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
176,377,45-49,Man,South Korea,Yes,Yes,3-5 years,2-3 years,,,,,,,,,,
177,3032,25-29,Woman,Germany,No,,3-5 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",5-9,No (we do not use ML methods),$0-999,$1-$99,,Never
178,154,35-39,Woman,India,No,,3-5 years,,,,,,,,,,,
179,200,25-29,Woman,Colombia,Yes,,I have never written code,,,,,,,,,,,
180,260,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
181,405,18-21,Man,Pakistan,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
182,335,18-21,Man,Russia,Yes,,3-5 years,1-2 years,,,,,,,,,,
183,185,25-29,Man,Nepal,Yes,No,3-5 years,I do not use machine learning methods,,,,,,,,,,
184,593,35-39,Man,Other,No,Yes,20+ years,5-10 years,,Data Engineer,Accounting/Finance,"10,000 or more employees",10-14,We use ML methods for generating insights (but do not put working models into production),,$100-$999,,Never
185,833,25-29,Man,India,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"10,000 or more employees",5-9,We use ML methods for generating insights (but do not put working models into production),$0-999,$100-$999,They all had a similarly enjoyable developer experience,Never
186,228,45-49,Man,Spain,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
187,345,25-29,Man,United States of America,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
188,307,25-29,Man,Morocco,Yes,,1-3 years,Under 1 year,,,,,,,,,,
189,165,30-34,Woman,India,No,,10-20 years,,,,,,,,,,,
190,382,22-24,Man,Colombia,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
191,412,60-69,Man,Colombia,No,No,5-10 years,Under 1 year,,Currently not employed,,,,,,,,
192,244,25-29,Man,United States of America,No,,3-5 years,2-3 years,,Data Scientist,,,,,,,,
193,529,45-49,Man,Japan,No,,20+ years,2-3 years,,Teacher / professor,Academics/Education,50-249 employees,1-2,No (we do not use ML methods),"80,000-89,999",$0 ($USD),,
194,398,18-21,Man,United States of America,Yes,,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
195,425,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
196,142,18-21,Woman,Indonesia,Yes,,I have never written code,,,,,,,,,,,
197,775,25-29,Man,India,No,,1-3 years,Under 1 year,,Software Engineer,Medical/Pharmaceutical,0-49 employees,5-9,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$1-$99,,Never
198,393,25-29,Man,Nigeria,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
199,310,18-21,Woman,India,Yes,,1-3 years,,,,,,,,,,,
