ID,Study platforms
1979,Coursera
1980,Coursera
1981,Coursera
1982,Coursera
1992,Coursera
1994,Coursera
1997,Coursera
2003,Coursera
2005,Coursera
2006,Coursera
2010,Coursera
2011,Coursera
2013,Coursera
2014,Coursera
2015,Coursera
2016,Coursera
2018,Coursera
2019,Coursera
2020,Coursera
2024,Coursera
2026,Coursera
2027,Coursera
2029,Coursera
2031,Coursera
2032,Coursera
2033,Coursera
2034,Coursera
2036,Coursera
2039,Coursera
2041,Coursera
2043,Coursera
2044,Coursera
2046,Coursera
2048,Coursera
2051,Coursera
2053,Coursera
2055,Coursera
2056,Coursera
2058,Coursera
2060,Coursera
2061,Coursera
2062,Coursera
2067,Coursera
2069,Coursera
2071,Coursera
2074,Coursera
2076,Coursera
2077,Coursera
2080,Coursera
2082,Coursera
2085,Coursera
2087,Coursera
2089,Coursera
2091,Coursera
2093,Coursera
2094,Coursera
2096,Coursera
2098,Coursera
2099,Coursera
2105,Coursera
2106,Coursera
2107,Coursera
2108,Coursera
2110,Coursera
2111,Coursera
2112,Coursera
2113,Coursera
2114,Coursera
2115,Coursera
2116,Coursera
2119,Coursera
2120,Coursera
2126,Coursera
2129,Coursera
2130,Coursera
2143,Coursera
2146,Coursera
2147,Coursera
2149,Coursera
2152,Coursera
2154,Coursera
2156,Coursera
2158,Coursera
2162,Coursera
2163,Coursera
2168,Coursera
2169,Coursera
2176,Coursera
2177,Coursera
2185,Coursera
2186,Coursera
2188,Coursera
2190,Coursera
2192,Coursera
2196,Coursera
2199,Coursera
2200,Coursera
2202,Coursera
2203,Coursera
2204,Coursera
2206,Coursera
2209,Coursera
2210,Coursera
2215,Coursera
2225,Coursera
2226,Coursera
2228,Coursera
2230,Coursera
2231,Coursera
2236,Coursera
2238,Coursera
2240,Coursera
2245,Coursera
2247,Coursera
2249,Coursera
2250,Coursera
2252,Coursera
2253,Coursera
2255,Coursera
2257,Coursera
2258,Coursera
2262,Coursera
2263,Coursera
2265,Coursera
2266,Coursera
2267,Coursera
2272,Coursera
2273,Coursera
2276,Coursera
2282,Coursera
2284,Coursera
2285,Coursera
2291,Coursera
2292,Coursera
2295,Coursera
2298,Coursera
2299,Coursera
2303,Coursera
2305,Coursera
2310,Coursera
2313,Coursera
2314,Coursera
2316,Coursera
2320,Coursera
2323,Coursera
2325,Coursera
2327,Coursera
2328,Coursera
2330,Coursera
2333,Coursera
2334,Coursera
2335,Coursera
2337,Coursera
2338,Coursera
2339,Coursera
2344,Coursera
2350,Coursera
2351,Coursera
2352,Coursera
2353,Coursera
2354,Coursera
2356,Coursera
2357,Coursera
2360,Coursera
2361,Coursera
2362,Coursera
2365,Coursera
2367,Coursera
2368,Coursera
2371,Coursera
2373,Coursera
2376,Coursera
2380,Coursera
2381,Coursera
2383,Coursera
2384,Coursera
2385,Coursera
2387,Coursera
2388,Coursera
2389,Coursera
2390,Coursera
2391,Coursera
2393,Coursera
2395,Coursera
2396,Coursera
2400,Coursera
2408,Coursera
2412,Coursera
2413,Coursera
2414,Coursera
2420,Coursera
2428,Coursera
2431,Coursera
2433,Coursera
2434,Coursera
2437,Coursera
2441,Coursera
2442,Coursera
2448,Coursera
2450,Coursera
2454,Coursera
2457,Coursera
2458,Coursera
2460,Coursera
2461,Coursera
2462,Coursera
2463,Coursera
2467,Coursera
2469,Coursera
2473,Coursera
2474,Coursera
2475,Coursera
2477,Coursera
2478,Coursera
2481,Coursera
2484,Coursera
2488,Coursera
2491,Coursera
2492,Coursera
2494,Coursera
2495,Coursera
2504,Coursera
2506,Coursera
2509,Coursera
2513,Coursera
2518,Coursera
2520,Coursera
2526,Coursera
2531,Coursera
2534,Coursera
2539,Coursera
2542,Coursera
2543,Coursera
2546,Coursera
2551,Coursera
2552,Coursera
2554,Coursera
2555,Coursera
2556,Coursera
2557,Coursera
2559,Coursera
2560,Coursera
2561,Coursera
2563,Coursera
2566,Coursera
2568,Coursera
2569,Coursera
2570,Coursera
2574,Coursera
2575,Coursera
2577,Coursera
2579,Coursera
2580,Coursera
2582,Coursera
2583,Coursera
2587,Coursera
2588,Coursera
2589,Coursera
2590,Coursera
2592,Coursera
2599,Coursera
2601,Coursera
2604,Coursera
2608,Coursera
2611,Coursera
2612,Coursera
2613,Coursera
2615,Coursera
2616,Coursera
2617,Coursera
2618,Coursera
2619,Coursera
2620,Coursera
2621,Coursera
2625,Coursera
2626,Coursera
2628,Coursera
2629,Coursera
2634,Coursera
2635,Coursera
2641,Coursera
2642,Coursera
2643,Coursera
2644,Coursera
2646,Coursera
2649,Coursera
2652,Coursera
2653,Coursera
2655,Coursera
2656,Coursera
2661,Coursera
2665,Coursera
2666,Coursera
2668,Coursera
2671,Coursera
2672,Coursera
2675,Coursera
2679,Coursera
2680,Coursera
2689,Coursera
2692,Coursera
2694,Coursera
2695,Coursera
2697,Coursera
2698,Coursera
2700,Coursera
2702,Coursera
2710,Coursera
2714,Coursera
2715,Coursera
2717,Coursera
2718,Coursera
2719,Coursera
2721,Coursera
2727,Coursera
2733,Coursera
2736,Coursera
2738,Coursera
2745,Coursera
2747,Coursera
2749,Coursera
2753,Coursera
2756,Coursera
2758,Coursera
2760,Coursera
2765,Coursera
2766,Coursera
2767,Coursera
2773,Coursera
2775,Coursera
2776,Coursera
2777,Coursera
2779,Coursera
2780,Coursera
2781,Coursera
2782,Coursera
2785,Coursera
2786,Coursera
2789,Coursera
2791,Coursera
2792,Coursera
2793,Coursera
2797,Coursera
2798,Coursera
2800,Coursera
2801,Coursera
2804,Coursera
2807,Coursera
2813,Coursera
2816,Coursera
2817,Coursera
2818,Coursera
2820,Coursera
2823,Coursera
2824,Coursera
2825,Coursera
2832,Coursera
2833,Coursera
2834,Coursera
2838,Coursera
2839,Coursera
2840,Coursera
2841,Coursera
2842,Coursera
2843,Coursera
2848,Coursera
2849,Coursera
2850,Coursera
2852,Coursera
2855,Coursera
2857,Coursera
2858,Coursera
2863,Coursera
2865,Coursera
2872,Coursera
2873,Coursera
2875,Coursera
2879,Coursera
2881,Coursera
2885,Coursera
2890,Coursera
2891,Coursera
2897,Coursera
2899,Coursera
2900,Coursera
2902,Coursera
2903,Coursera
2905,Coursera
2906,Coursera
2909,Coursera
2912,Coursera
2918,Coursera
2920,Coursera
2921,Coursera
2922,Coursera
2923,Coursera
2924,Coursera
2928,Coursera
2929,Coursera
2933,Coursera
2945,Coursera
2947,Coursera
2948,Coursera
2949,Coursera
2956,Coursera
2962,Coursera
2964,Coursera
2965,Coursera
2968,Coursera
2969,Coursera
2979,Coursera
2980,Coursera
2983,Coursera
2992,Coursera
2994,Coursera
2999,Coursera
3002,Coursera
3005,Coursera
3008,Coursera
3009,Coursera
3010,Coursera
3012,Coursera
3013,Coursera
3015,Coursera
3016,Coursera
3017,Coursera
3018,Coursera
3019,Coursera
3020,Coursera
3021,Coursera
3023,Coursera
3026,Coursera
3027,Coursera
3032,Coursera
3035,Coursera
3036,Coursera
3037,Coursera
3038,Coursera
3040,Coursera
3042,Coursera
3045,Coursera
3046,Coursera
3049,Coursera
3050,Coursera
3055,Coursera
3057,Coursera
3061,Coursera
3063,Coursera
3064,Coursera
3066,Coursera
3067,Coursera
3071,Coursera
3073,Coursera
3075,Coursera
3076,Coursera
3077,Coursera
3078,Coursera
3081,Coursera
3082,Coursera
3083,Coursera
3084,Coursera
3088,Coursera
3089,Coursera
3091,Coursera
3092,Coursera
3093,Coursera
3094,Coursera
3095,Coursera
3097,Coursera
3098,Coursera
3101,Coursera
3102,Coursera
3104,Coursera
3106,Coursera
3112,Coursera
3114,Coursera
3119,Coursera
3121,Coursera
3122,Coursera
3125,Coursera
3126,Coursera
3128,Coursera
3135,Coursera
3136,Coursera
3140,Coursera
3145,Coursera
3149,Coursera
3150,Coursera
3152,Coursera
3154,Coursera
3156,Coursera
3157,Coursera
3160,Coursera
3162,Coursera
3168,Coursera
3169,Coursera
3170,Coursera
3172,Coursera
3174,Coursera
3175,Coursera
3179,Coursera
3182,Coursera
3184,Coursera
3185,Coursera
3186,Coursera
3191,Coursera
3194,Coursera
3195,Coursera
3198,Coursera
3199,Coursera
3204,Coursera
3205,Coursera
3209,Coursera
3212,Coursera
3217,Coursera
3218,Coursera
3220,Coursera
3221,Coursera
3223,Coursera
3224,Coursera
3225,Coursera
3227,Coursera
3228,Coursera
3230,Coursera
3234,Coursera
3238,Coursera
3241,Coursera
3243,Coursera
3246,Coursera
3248,Coursera
3251,Coursera
3254,Coursera
3259,Coursera
3261,Coursera
3262,Coursera
3268,Coursera
3270,Coursera
3272,Coursera
3273,Coursera
3274,Coursera
3276,Coursera
3280,Coursera
3285,Coursera
3286,Coursera
3287,Coursera
3288,Coursera
3294,Coursera
3298,Coursera
3299,Coursera
3300,Coursera
3301,Coursera
3302,Coursera
3305,Coursera
3308,Coursera
3309,Coursera
3310,Coursera
3311,Coursera
3312,Coursera
3316,Coursera
3318,Coursera
3322,Coursera
3323,Coursera
3327,Coursera
3328,Coursera
3330,Coursera
3333,Coursera
3336,Coursera
3337,Coursera
3339,Coursera
3340,Coursera
3346,Coursera
3354,Coursera
3357,Coursera
3364,Coursera
3367,Coursera
3368,Coursera
3369,Coursera
3371,Coursera
3373,Coursera
3377,Coursera
3378,Coursera
3379,Coursera
3380,Coursera
3384,Coursera
3388,Coursera
3391,Coursera
3395,Coursera
3404,Coursera
3405,Coursera
3408,Coursera
3424,Coursera
3427,Coursera
3430,Coursera
3432,Coursera
3435,Coursera
3438,Coursera
3439,Coursera
3440,Coursera
3441,Coursera
3444,Coursera
3446,Coursera
3447,Coursera
3451,Coursera
3452,Coursera
3453,Coursera
3454,Coursera
3455,Coursera
3463,Coursera
3464,Coursera
3465,Coursera
3471,Coursera
3472,Coursera
3474,Coursera
3475,Coursera
3478,Coursera
3479,Coursera
3485,Coursera
3487,Coursera
3490,Coursera
3492,Coursera
3494,Coursera
3495,Coursera
3500,Coursera
3501,Coursera
3502,Coursera
3504,Coursera
3505,Coursera
3508,Coursera
3509,Coursera
3511,Coursera
3512,Coursera
3514,Coursera
3516,Coursera
3518,Coursera
3519,Coursera
3520,Coursera
3521,Coursera
3522,Coursera
3523,Coursera
3525,Coursera
3526,Coursera
3527,Coursera
3529,Coursera
3535,Coursera
3538,Coursera
3539,Coursera
3541,Coursera
3544,Coursera
3547,Coursera
3549,Coursera
3556,Coursera
3559,Coursera
3563,Coursera
3566,Coursera
3568,Coursera
3569,Coursera
3570,Coursera
3572,Coursera
3573,Coursera
3574,Coursera
3576,Coursera
3578,Coursera
3579,Coursera
3581,Coursera
3586,Coursera
3587,Coursera
3588,Coursera
3591,Coursera
3593,Coursera
3594,Coursera
3595,Coursera
3600,Coursera
3601,Coursera
3607,Coursera
3613,Coursera
3614,Coursera
3615,Coursera
3618,Coursera
3625,Coursera
3632,Coursera
3633,Coursera
3634,Coursera
3635,Coursera
3636,Coursera
3641,Coursera
3642,Coursera
3644,Coursera
3645,Coursera
3649,Coursera
3650,Coursera
3651,Coursera
3653,Coursera
3657,Coursera
3659,Coursera
3660,Coursera
3665,Coursera
3667,Coursera
3668,Coursera
3669,Coursera
3674,Coursera
3676,Coursera
3677,Coursera
3678,Coursera
3679,Coursera
3682,Coursera
3683,Coursera
3688,Coursera
3689,Coursera
3690,Coursera
3693,Coursera
3695,Coursera
3696,Coursera
3698,Coursera
3699,Coursera
3700,Coursera
3706,Coursera
3710,Coursera
3716,Coursera
3719,Coursera
3721,Coursera
3723,Coursera
3724,Coursera
3727,Coursera
3728,Coursera
3729,Coursera
3736,Coursera
3738,Coursera
3739,Coursera
3743,Coursera
3744,Coursera
3750,Coursera
3753,Coursera
3755,Coursera
3756,Coursera
3763,Coursera
3764,Coursera
3773,Coursera
3789,Coursera
3791,Coursera
3796,Coursera
3798,Coursera
3799,Coursera
3800,Coursera
3803,Coursera
3804,Coursera
3806,Coursera
3807,Coursera
3809,Coursera
3810,Coursera
3811,Coursera
3813,Coursera
3818,Coursera
3821,Coursera
3822,Coursera
3824,Coursera
3827,Coursera
3830,Coursera
3831,Coursera
3832,Coursera
3834,Coursera
3836,Coursera
3837,Coursera
3838,Coursera
3841,Coursera
3843,Coursera
3844,Coursera
3845,Coursera
3854,Coursera
3859,Coursera
3864,Coursera
3868,Coursera
3870,Coursera
3878,Coursera
3880,Coursera
3883,Coursera
3884,Coursera
3893,Coursera
3894,Coursera
3898,Coursera
3901,Coursera
3905,Coursera
3908,Coursera
3910,Coursera
3911,Coursera
3914,Coursera
3916,Coursera
3917,Coursera
3918,Coursera
3920,Coursera
3921,Coursera
3927,Coursera
3930,Coursera
3931,Coursera
3934,Coursera
3936,Coursera
3940,Coursera
3946,Coursera
3949,Coursera
3951,Coursera
3952,Coursera
3955,Coursera
3958,Coursera
3959,Coursera
3961,Coursera
3962,Coursera
3963,Coursera
3964,Coursera
3965,Coursera
3966,Coursera
3968,Coursera
3971,Coursera
3975,Coursera
3976,Coursera
3978,Coursera
3980,Coursera
3981,Coursera
3984,Coursera
3985,Coursera
3987,Coursera
3988,Coursera
3991,Coursera
3992,Coursera
3998,Coursera
4006,Coursera
4009,Coursera
4010,Coursera
4012,Coursera
4013,Coursera
4016,Coursera
4017,Coursera
4018,Coursera
4020,Coursera
4021,Coursera
4022,Coursera
4027,Coursera
4028,Coursera
4031,Coursera
4039,Coursera
4041,Coursera
4042,Coursera
4051,Coursera
4053,Coursera
4055,Coursera
4056,Coursera
4057,Coursera
4059,Coursera
4062,Coursera
4066,Coursera
4069,Coursera
4073,Coursera
4074,Coursera
4076,Coursera
4077,Coursera
4078,Coursera
4081,Coursera
4082,Coursera
4085,Coursera
4090,Coursera
4091,Coursera
4092,Coursera
4094,Coursera
4095,Coursera
4096,Coursera
4101,Coursera
4103,Coursera
4105,Coursera
4106,Coursera
4109,Coursera
4114,Coursera
4115,Coursera
4116,Coursera
4117,Coursera
4118,Coursera
4119,Coursera
4128,Coursera
4131,Coursera
4135,Coursera
4136,Coursera
4137,Coursera
4139,Coursera
4141,Coursera
4143,Coursera
4145,Coursera
4150,Coursera
4151,Coursera
4152,Coursera
4154,Coursera
4156,Coursera
4157,Coursera
4158,Coursera
4161,Coursera
4164,Coursera
4165,Coursera
4166,Coursera
4167,Coursera
4168,Coursera
4169,Coursera
4170,Coursera
4173,Coursera
4174,Coursera
4179,Coursera
4182,Coursera
4183,Coursera
4185,Coursera
4186,Coursera
4187,Coursera
4188,Coursera
4191,Coursera
4195,Coursera
4196,Coursera
4200,Coursera
4202,Coursera
4204,Coursera
4205,Coursera
4206,Coursera
4211,Coursera
4212,Coursera
4217,Coursera
4219,Coursera
4220,Coursera
4222,Coursera
4224,Coursera
4226,Coursera
4230,Coursera
4231,Coursera
4232,Coursera
4235,Coursera
4236,Coursera
4241,Coursera
4245,Coursera
4247,Coursera
4249,Coursera
4251,Coursera
4254,Coursera
4255,Coursera
4258,Coursera
4259,Coursera
4262,Coursera
4269,Coursera
4270,Coursera
4272,Coursera
4274,Coursera
4275,Coursera
4276,Coursera
4277,Coursera
4280,Coursera
4282,Coursera
4283,Coursera
4285,Coursera
4290,Coursera
4292,Coursera
4293,Coursera
4296,Coursera
4299,Coursera
4301,Coursera
4304,Coursera
4305,Coursera
4308,Coursera
4310,Coursera
4312,Coursera
4314,Coursera
4317,Coursera
4318,Coursera
4320,Coursera
4321,Coursera
4326,Coursera
4331,Coursera
4332,Coursera
4333,Coursera
4335,Coursera
4342,Coursera
4343,Coursera
4344,Coursera
4347,Coursera
4348,Coursera
4349,Coursera
4356,Coursera
4357,Coursera
4360,Coursera
4361,Coursera
4363,Coursera
4364,Coursera
4366,Coursera
4369,Coursera
4372,Coursera
4373,Coursera
4380,Coursera
4384,Coursera
